Activity(1 hour),130 lb,155 lb,180 lb,205 lb,1 lb
"Roller blading, in-line skating",708,844,981,1117,5.447523906
Sky diving,177,211,245,279,1.361228876
"Soccer, competitive",590,704,817,931,4.540187331
Playing soccer,413,493,572,651,3.177738943
Softball or baseball,295,352,409,465,2.270178354
"Softball, officiating",236,281,327,372,1.814897164
"Softball, pitching",354,422,490,558,2.722457752
Squash,708,844,981,1117,5.447523906
"Table tennis, ping pong",236,281,327,372,1.814897164
Tai chi,236,281,327,372,1.814897164
Playing tennis,413,493,572,651,3.177738943
"Tennis, doubles",354,422,490,558,2.722457752
"Tennis, singles",472,563,654,745,3.632626743
Trampoline,207,246,286,326,1.589634314
"Volleyball, competitive",472,563,654,745,3.632626743
Playing volleyball,177,211,245,279,1.361228876
"Volleyball, beach",472,563,654,745,3.632626743
Wrestling,354,422,490,558,2.722457752
Wallyball,413,493,572,651,3.177738943
"Backpacking, Hiking with pack",413,493,572,651,3.177738943
"Carrying infant, level ground",207,246,286,326,1.589634314
"Carrying infant, upstairs",295,352,409,465,2.270178354
"Carrying 16 to 24 lbs, upstairs",354,422,490,558,2.722457752
"Carrying 25 to 49 lbs, upstairs",472,563,654,745,3.632626743
"Standing, playing with children, light",165,197,229,261,1.271397866
"Walk/run, playing with children, moderate",236,281,327,372,1.814897164
"Walk/run, playing with children, vigorous",295,352,409,465,2.270178354
Carrying small children,177,211,245,279,1.361228876
"Loading, unloading car",177,211,245,279,1.361228876
"Climbing hills, carrying up to 9 lbs",413,493,572,651,3.177738943
"Climbing hills, carrying 10 to 20 lb",443,528,613,698,3.406144381
"Climbing hills, carrying 21 to 42 lb",472,563,654,745,3.632626743
"Climbing hills, carrying over 42 lb",531,633,735,838,4.084906141
Walking downstairs,177,211,245,279,1.361228876
"Hiking, cross country",354,422,490,558,2.722457752
Bird watching,148,176,204,233,1.135966027
"Marching, rapidly, military",384,457,531,605,2.950863191
"Children's games, hopscotch, dodgeball",295,352,409,465,2.270178354
Pushing stroller or walking with children,148,176,204,233,1.135966027
Pushing a wheelchair,236,281,327,372,1.814897164
Race walking,384,457,531,605,2.950863191
"Rock climbing, mountain climbing",472,563,654,745,3.632626743
Walking using crutches,295,352,409,465,2.270178354
Walking the dog,177,211,245,279,1.361228876
"Walking, under 2.0 mph, very slow",118,141,163,186,0.907560589
"Walking 2.0 mph, slow",148,176,204,233,1.135966027
Walking 2.5 mph,177,211,245,279,1.361228876
"Walking 3.0 mph, moderate",195,232,270,307,1.498583792
"Walking 3.5 mph, brisk pace",224,267,311,354,1.725066154
"Walking 3.5 mph, uphill",354,422,490,558,2.722457752
"Walking 4.0 mph, very brisk",295,352,409,465,2.270178354
Walking 4.5 mph,372,443,515,586,2.859812669
Walking 5.0 mph,472,563,654,745,3.632626743
"Boating, power, speed boat",148,176,204,233,1.135966027
"Canoeing, camping trip",236,281,327,372,1.814897164
"Canoeing, rowing, light",177,211,245,279,1.361228876
"Canoeing, rowing, moderate",413,493,572,651,3.177738943
"Canoeing, rowing, vigorous",708,844,981,1117,5.447523906
"Crew, sculling, rowing, competition",708,844,981,1117,5.447523906
Kayaking,295,352,409,465,2.270178354
Paddle boat,236,281,327,372,1.814897164
"Windsurfing, sailing",177,211,245,279,1.361228876
"Sailing, competition",295,352,409,465,2.270178354
"Sailing, yachting, ocean sailing",177,211,245,279,1.361228876
"Skiing, water skiing",354,422,490,558,2.722457752
Ski mobiling,413,493,572,651,3.177738943
"Skin diving, fast",944,1126,1308,1489,7.264033973
"Skin diving, moderate",738,880,1022,1163,5.676322735
"Skin diving, scuba diving",413,493,572,651,3.177738943
Snorkeling,295,352,409,465,2.270178354
"Surfing, body surfing or board surfing",177,211,245,279,1.361228876
"Whitewater rafting, kayaking, canoeing",295,352,409,465,2.270178354
"Swimming laps, freestyle, fast",590,704,817,931,4.540187331
"Swimming laps, freestyle, slow",413,493,572,651,3.177738943
Swimming backstroke,413,493,572,651,3.177738943
Swimming breaststroke,590,704,817,931,4.540187331
Swimming butterfly,649,774,899,1024,4.993855619
"Swimming leisurely, not laps",354,422,490,558,2.722457752
Swimming sidestroke,472,563,654,745,3.632626743
Swimming synchronized,472,563,654,745,3.632626743
